type,transaction_date,price,units_traded,total,count,timestamp
0,2023-11-15 00:00:00,49130000,0.00020354,9999,1,2023-11-15 00:00:00.221777
0,2023-11-15 00:00:01,49130000,0.16224892,6148884,2,2023-11-15 00:00:01.221777
0,2023-11-15 00:00:02,49130000,0.22447904,155157,4,2023-11-15 00:00:02.221777
0,0,0,0.0,0,0,2023-11-15 00:00:03.221777
0,0,0,0.0,0,0,2023-11-15 00:00:04.221778
0,2023-11-15 00:00:04,49141000,0.00020349,9999,1,2023-11-15 00:00:05.221778
1,2023-11-15 00:00:05,49130000,0.0031,152303,1,2023-11-15 00:00:05.221778
0,2023-11-15 00:00:05,49141000,0.007,343987,1,2023-11-15 00:00:06.221779
0,0,0,0.0,0,0,2023-11-15 00:00:07.221780
1,2023-11-15 00:00:07,49131000,0.00652026,320346,1,2023-11-15 00:00:08.221780
0,2023-11-15 00:00:09,49141000,0.04128522,1213611,2,2023-11-15 00:00:09.221780
0,0,0,0.0,0,0,2023-11-15 00:00:10.221781
1,2023-11-15 00:00:10,49131000,0.01100877,540871,1,2023-11-15 00:00:11.221781
0,0,0,0.0,0,0,2023-11-15 00:00:12.221781
1,2023-11-15 00:00:12,49137999,0.01083207,532266,1,2023-11-15 00:00:13.221782
1,2023-11-15 00:00:13,49138000,0.00929834,456901,1,2023-11-15 00:00:14.221782
1,2023-11-15 00:00:14,49127044,0.41450386,1964840,18,2023-11-15 00:00:15.221782
0,0,0,0.0,0,0,2023-11-15 00:00:16.221782
0,2023-11-15 00:00:16,49119000,0.00020353,9997,1,2023-11-15 00:00:17.221782
1,2023-11-15 00:00:16,49120457,0.04125793,1099999,2,2023-11-15 00:00:17.221782
1,2023-11-15 00:00:17,49117000,0.166,8153422,1,2023-11-15 00:00:18.221783
1,2023-11-15 00:00:18,49116587,0.1612,9999,30,2023-11-15 00:00:19.221784
1,2023-11-15 00:00:20,49115012,0.0162,692521,3,2023-11-15 00:00:20.221784
1,2023-11-15 00:00:21,49115000,0.039,1915485,1,2023-11-15 00:00:21.221784
1,2023-11-15 00:00:21,49115000,0.011,540265,1,2023-11-15 00:00:22.221784
0,0,0,0.0,0,0,2023-11-15 00:00:23.221784
0,0,0,0.0,0,0,2023-11-15 00:00:24.221784
0,0,0,0.0,0,0,2023-11-15 00:00:25.221785
1,2023-11-15 00:00:25,49116000,0.0034085,417,3,2023-11-15 00:00:26.221791
0,0,0,0.0,0,0,2023-11-15 00:00:27.221792
1,2023-11-15 00:00:27,49114999,0.01941836,559911,2,2023-11-15 00:00:28.221793
0,0,0,0.0,0,0,2023-11-15 00:00:29.221793
0,0,0,0.0,0,0,2023-11-15 00:00:30.221796
0,0,0,0.0,0,0,2023-11-15 00:00:31.221797
0,2023-11-15 00:00:31,49116000,0.0020275,99582,1,2023-11-15 00:00:32.221797
0,0,0,0.0,0,0,2023-11-15 00:00:33.221797
0,0,0,0.0,0,0,2023-11-15 00:00:34.221797
1,2023-11-15 00:00:34,49116000,0.03023149,584738,2,2023-11-15 00:00:35.221797
1,2023-11-15 00:00:35,49116000,0.01017899,499951,1,2023-11-15 00:00:36.221797
0,0,0,0.0,0,0,2023-11-15 00:00:37.221798
0,0,0,0.0,0,0,2023-11-15 00:00:38.221798
0,0,0,0.0,0,0,2023-11-15 00:00:39.221798
0,0,0,0.0,0,0,2023-11-15 00:00:40.221799
0,0,0,0.0,0,0,2023-11-15 00:00:41.221799
1,2023-11-15 00:00:41,49116000,0.00552086,271162,1,2023-11-15 00:00:42.221800
1,2023-11-15 00:00:42,49116000,0.07158338,1473480,3,2023-11-15 00:00:43.221801
0,2023-11-15 00:00:43,49128393,0.0023745,107813,2,2023-11-15 00:00:44.221802
1,2023-11-15 00:00:43,49116000,0.00122225,60032,1,2023-11-15 00:00:44.221802
0,0,0,0.0,0,0,2023-11-15 00:00:45.221803
0,0,0,0.0,0,0,2023-11-15 00:00:46.221804
1,2023-11-15 00:00:46,49116000,0.00773144,379737,1,2023-11-15 00:00:47.221805
0,0,0,0.0,0,0,2023-11-15 00:00:48.221806
0,0,0,0.0,0,0,2023-11-15 00:00:49.221807
1,2023-11-15 00:00:49,49116000,0.01405637,493928,2,2023-11-15 00:00:50.221808
0,0,0,0.0,0,0,2023-11-15 00:00:51.221809
0,0,0,0.0,0,0,2023-11-15 00:00:52.221810
0,2023-11-15 00:00:52,49129000,0.02035457,999999,1,2023-11-15 00:00:53.221811
0,0,0,0.0,0,0,2023-11-15 00:00:54.221811
0,2023-11-15 00:00:54,49129000,0.00101799,50012,1,2023-11-15 00:00:55.221811
0,0,0,0.0,0,0,2023-11-15 00:00:56.221811
0,0,0,0.0,0,0,2023-11-15 00:00:57.221812
0,0,0,0.0,0,0,2023-11-15 00:00:58.221812
0,0,0,0.0,0,0,2023-11-15 00:00:59.221813
0,0,0,0.0,0,0,2023-11-15 00:01:00.221814
0,0,0,0.0,0,0,2023-11-15 00:01:01.221815
0,2023-11-15 00:01:01,49129000,0.01638294,48800,2,2023-11-15 00:01:02.221815
1,2023-11-15 00:01:01,49116544,0.4375,2111988,7,2023-11-15 00:01:02.221815
0,0,0,0.0,0,0,2023-11-15 00:01:03.221815
1,2023-11-15 00:01:03,49118000,0.06533891,3209316,1,2023-11-15 00:01:04.221815
0,2023-11-15 00:01:04,49144318,0.77161288,999999,12,2023-11-15 00:01:05.221815
0,0,0,0.0,0,0,2023-11-15 00:01:06.221815
0,0,0,0.0,0,0,2023-11-15 00:01:07.221816
1,2023-11-15 00:01:07,49118000,0.00027422,13469,1,2023-11-15 00:01:08.221816
0,0,0,0.0,0,0,2023-11-15 00:01:09.221817
0,2023-11-15 00:01:09,49149000,0.01738179,854297,1,2023-11-15 00:01:10.221818
1,2023-11-15 00:01:10,49120000,0.01889999,928367,1,2023-11-15 00:01:11.221819
0,0,0,0.0,0,0,2023-11-15 00:01:12.221820
0,0,0,0.0,0,0,2023-11-15 00:01:13.221820
0,0,0,0.0,0,0,2023-11-15 00:01:14.221820
0,0,0,0.0,0,0,2023-11-15 00:01:15.221821
0,0,0,0.0,0,0,2023-11-15 00:01:16.221822
1,2023-11-15 00:01:16,49123000,0.0144440599999999,285465,2,2023-11-15 00:01:17.221822
1,2023-11-15 00:01:17,49123000,0.00834944,410149,1,2023-11-15 00:01:18.221824
0,0,0,0.0,0,0,2023-11-15 00:01:19.221825
1,2023-11-15 00:01:19,49123000,0.00550102,270226,1,2023-11-15 00:01:20.221825
0,0,0,0.0,0,0,2023-11-15 00:01:21.221825
0,0,0,0.0,0,0,2023-11-15 00:01:22.221826
0,0,0,0.0,0,0,2023-11-15 00:01:23.221827
0,0,0,0.0,0,0,2023-11-15 00:01:24.221827
0,0,0,0.0,0,0,2023-11-15 00:01:25.221828
0,0,0,0.0,0,0,2023-11-15 00:01:26.221828
0,0,0,0.0,0,0,2023-11-15 00:01:27.221828
0,0,0,0.0,0,0,2023-11-15 00:01:28.221828
0,0,0,0.0,0,0,2023-11-15 00:01:29.221828
0,0,0,0.0,0,0,2023-11-15 00:01:30.221828
1,2023-11-15 00:01:30,49122999,0.00551777,271049,1,2023-11-15 00:01:31.221829
0,2023-11-15 00:01:31,49129000,0.02432959,1195288,1,2023-11-15 00:01:32.221830
1,2023-11-15 00:01:33,49129000,0.0756,3714152,1,2023-11-15 00:01:33.221830
0,0,0,0.0,0,0,2023-11-15 00:01:34.221830
0,0,0,0.0,0,0,2023-11-15 00:01:35.221830
0,0,0,0.0,0,0,2023-11-15 00:01:36.221830
1,2023-11-15 00:01:36,49129000,7.041e-05,3459,1,2023-11-15 00:01:37.221837
0,2023-11-15 00:01:37,49130000,0.00305312,149999,1,2023-11-15 00:01:38.221837
1,2023-11-15 00:01:38,49123018,0.0071,6319,2,2023-11-15 00:01:39.221838
1,2023-11-15 00:01:40,49123000,0.1612,7918627,1,2023-11-15 00:01:40.221838
1,2023-11-15 00:01:40,49122345,0.0788392899999999,18682,6,2023-11-15 00:01:41.221838
1,2023-11-15 00:01:41,49118818,0.04631449,110999,7,2023-11-15 00:01:42.221839
1,2023-11-15 00:01:42,49115353,0.2932064599999999,294690,20,2023-11-15 00:01:43.221840
0,2023-11-15 00:01:43,49113000,0.00040721,19999,1,2023-11-15 00:01:44.221840
1,2023-11-15 00:01:43,49114869,0.16877542,107604,17,2023-11-15 00:01:44.221840
1,2023-11-15 00:01:44,49110653,0.0677175999999999,142148,21,2023-11-15 00:01:45.221840
1,2023-11-15 00:01:46,49109000,0.0081,291557,3,2023-11-15 00:01:46.221841
1,2023-11-15 00:01:46,49108558,0.33955163,9999,23,2023-11-15 00:01:47.221841
1,2023-11-15 00:01:47,49107000,0.03286909,1123032,2,2023-11-15 00:01:48.221842
1,2023-11-15 00:01:49,49105426,0.17,854409,12,2023-11-15 00:01:49.221842
1,2023-11-15 00:01:50,49104000,0.0068804,337855,1,2023-11-15 00:01:50.221842
0,0,0,0.0,0,0,2023-11-15 00:01:51.221842
1,2023-11-15 00:01:51,49104000,0.03880914,1083567,2,2023-11-15 00:01:52.221842
1,2023-11-15 00:01:53,49102225,0.0190766,5401,11,2023-11-15 00:01:53.221843
